iter	Passed	Remaining
0	0	461
1	0	397
2	1	369
3	1	354
4	1	344
5	2	333
6	2	327
7	2	327
8	2	319
9	3	317
10	3	315
11	3	315
12	4	312
13	4	311
14	4	311
15	5	309
16	5	306
17	5	304
18	5	302
19	6	301
20	6	300
21	6	299
22	7	297
23	7	296
24	7	295
25	7	294
26	8	295
27	8	295
28	8	295
29	9	292
30	9	291
31	9	290
32	9	290
33	10	288
34	10	288
35	10	287
36	11	286
37	11	285
38	11	285
39	11	284
40	12	284
41	12	283
42	12	282
43	12	282
44	13	281
45	13	280
46	13	280
47	14	280
48	14	279
49	14	278
50	14	278
51	15	277
52	15	277
53	15	276
54	16	276
55	16	275
56	16	275
57	17	276
58	17	278
59	17	278
60	18	278
61	18	277
62	18	276
63	18	276
64	19	275
65	19	274
66	19	274
67	19	273
68	20	272
69	20	272
70	20	272
71	21	271
72	21	271
73	21	270
74	21	270
75	22	269
76	22	269
77	22	268
78	23	269
79	23	268
80	23	268
81	23	267
82	24	265
83	24	265
84	24	266
85	25	266
86	25	266
87	25	265
88	25	264
89	26	264
90	26	264
91	26	263
92	26	262
93	27	262
94	27	261
95	27	261
96	28	260
97	28	260
98	28	260
99	28	260
100	29	259
101	29	259
102	29	259
103	30	258
104	30	258
105	30	257
106	30	257
107	31	256
108	31	256
109	31	255
110	31	255
111	32	255
112	32	254
113	32	254
114	33	254
115	33	253
116	33	252
117	33	252
118	34	251
119	34	251
120	34	250
121	34	249
122	34	249
123	35	249
124	35	249
125	35	249
126	36	249
127	36	249
128	36	249
129	37	248
130	37	248
131	37	248
132	38	247
133	38	247
134	38	246
135	38	246
136	39	245
137	39	245
138	39	245
139	39	244
140	40	244
141	40	243
142	40	242
143	40	242
144	41	242
145	41	241
146	41	241
147	41	240
148	42	240
149	42	240
150	42	239
151	42	239
152	43	238
153	43	238
154	43	238
155	43	237
156	44	237
157	44	237
158	44	237
159	45	236
160	45	235
161	45	235
162	45	235
163	46	235
164	46	234
165	46	234
166	46	234
167	47	233
168	47	233
169	47	233
170	48	232
171	48	232
172	48	232
173	48	232
174	49	231
175	49	231
176	49	230
177	49	230
178	50	230
179	50	230
180	50	229
181	51	230
182	51	230
183	51	229
184	52	229
185	52	228
186	52	228
187	52	228
188	53	228
189	53	227
190	53	227
191	53	227
192	54	226
193	54	226
194	54	226
195	55	225
196	55	225
197	55	225
198	55	225
199	56	224
200	56	224
201	56	223
202	56	223
203	57	223
204	57	223
205	57	222
206	58	222
207	58	222
208	58	221
209	58	221
210	59	221
211	59	221
212	59	220
213	60	220
214	60	220
215	60	219
216	60	219
217	61	219
218	61	218
219	61	218
220	61	218
221	62	217
222	62	217
223	62	217
224	62	216
225	63	216
226	63	216
227	63	216
228	64	215
229	64	215
230	64	215
231	64	214
232	65	214
233	65	214
234	65	213
235	65	213
236	66	213
237	66	212
238	66	212
239	66	212
240	67	211
241	67	211
242	67	211
243	68	210
244	68	210
245	68	210
246	68	210
247	69	209
248	69	209
249	69	209
250	69	208
251	70	208
252	70	208
253	70	207
254	70	207
255	71	207
256	71	207
257	71	206
258	72	206
259	72	206
260	72	206
261	73	205
262	73	205
263	73	205
264	73	204
265	74	204
266	74	204
267	74	204
268	74	203
269	75	203
270	75	203
271	75	203
272	76	203
273	76	202
274	76	202
275	77	202
276	77	201
277	77	201
278	77	201
279	78	201
280	78	200
281	78	200
282	79	200
283	79	200
284	79	199
285	79	199
286	80	199
287	80	198
288	80	198
289	80	198
290	81	197
291	81	197
292	81	197
293	82	197
294	82	196
295	82	196
296	83	196
297	83	196
298	83	195
299	83	195
300	84	195
301	84	195
302	84	194
303	84	194
304	85	194
305	85	194
306	85	193
307	86	193
308	86	193
309	86	192
310	86	192
311	87	192
312	87	191
313	87	191
314	88	191
315	88	191
316	88	190
317	88	190
318	89	190
319	89	189
320	89	189
321	89	189
322	90	189
323	90	188
324	90	188
325	91	188
326	91	187
327	91	187
328	91	187
329	92	187
330	92	186
331	92	186
332	92	186
333	93	185
334	93	185
335	93	185
336	94	185
337	94	184
338	94	184
339	94	184
340	95	183
341	95	183
342	95	183
343	96	183
344	96	182
345	96	182
346	96	182
347	97	181
348	97	181
349	97	181
350	97	180
351	98	180
352	98	180
353	98	180
354	98	179
355	99	179
356	99	179
357	99	178
358	99	178
359	100	178
360	100	177
361	100	177
362	101	177
363	101	177
364	101	176
365	101	176
366	102	176
367	102	175
368	102	175
369	103	175
370	103	175
371	103	174
372	103	174
373	104	174
374	104	173
375	104	173
376	104	173
377	105	173
378	105	172
379	105	172
380	106	172
381	106	172
382	106	171
383	106	171
384	107	171
385	107	171
386	107	171
387	108	170
388	108	170
389	108	170
390	109	169
391	109	169
392	109	169
393	109	169
394	110	168
395	110	168
396	110	168
397	110	167
398	111	167
399	111	167
400	111	167
401	112	166
402	112	166
403	112	166
404	112	165
405	113	165
406	113	165
407	113	165
408	114	164
409	114	164
410	114	164
411	114	163
412	115	163
413	115	163
414	115	163
415	116	162
416	116	162
417	116	162
418	116	162
419	117	161
420	117	161
421	117	161
422	117	160
423	118	160
424	118	160
425	118	160
426	119	159
427	119	159
428	119	159
429	120	159
430	120	158
431	120	158
432	120	158
433	121	158
434	121	157
435	121	157
436	122	157
437	122	156
438	122	156
439	122	156
440	123	156
441	123	155
442	123	155
443	123	155
444	124	154
445	124	154
446	124	154
447	125	154
448	125	153
449	125	153
450	125	153
451	126	153
452	126	152
453	126	152
454	127	152
455	127	151
456	127	151
457	127	151
458	128	151
459	128	150
460	128	150
461	129	150
462	129	149
463	129	149
464	129	149
465	130	149
466	130	148
467	130	148
468	131	148
469	131	148
470	131	147
471	131	147
472	132	147
473	132	146
474	132	146
475	132	146
476	133	145
477	133	145
478	133	145
479	134	145
480	134	144
481	134	144
482	134	144
483	135	144
484	135	143
485	135	143
486	135	143
487	136	142
488	136	142
489	136	142
490	137	142
491	137	141
492	137	141
493	137	141
494	138	140
495	138	140
496	138	140
497	138	140
498	139	139
499	139	139
500	139	139
501	140	138
502	140	138
503	140	138
504	140	138
505	141	137
506	141	137
507	141	137
508	142	137
509	142	136
510	142	136
511	142	136
512	143	136
513	143	135
514	143	135
515	144	135
516	144	134
517	144	134
518	144	134
519	145	133
520	145	133
521	145	133
522	145	133
523	146	132
524	146	132
525	146	132
526	147	131
527	147	131
528	147	131
529	147	131
530	148	130
531	148	130
532	148	130
533	148	129
534	149	129
535	149	129
536	149	129
537	150	128
538	150	128
539	150	128
540	150	128
541	151	127
542	151	127
543	151	127
544	152	126
545	152	126
546	152	126
547	152	126
548	153	125
549	153	125
550	153	125
551	154	125
552	154	124
553	154	124
554	154	124
555	155	123
556	155	123
557	155	123
558	155	122
559	156	122
560	156	122
561	156	122
562	156	121
563	157	121
564	157	121
565	157	120
566	158	120
567	158	120
568	158	120
569	158	119
570	159	119
571	159	119
572	159	118
573	159	118
574	160	118
575	160	118
576	160	117
577	160	117
578	161	117
579	161	117
580	161	116
581	162	116
582	162	116
583	162	115
584	162	115
585	163	115
586	163	115
587	163	114
588	164	114
589	164	114
590	164	113
591	164	113
592	165	113
593	165	113
594	165	112
595	165	112
596	166	112
597	166	111
598	166	111
599	167	111
600	167	111
601	167	110
602	168	110
603	168	110
604	168	110
605	168	109
606	169	109
607	169	109
608	169	109
609	170	108
610	170	108
611	170	108
612	170	107
613	171	107
614	171	107
615	171	106
616	171	106
617	172	106
618	172	106
619	172	105
620	172	105
621	173	105
622	173	105
623	173	104
624	174	104
625	174	104
626	174	103
627	174	103
628	175	103
629	175	103
